これ　は　何　ですか。| 这是什么？
それ　は　何　ですか。| 那是什么？
あれ　は　何　ですか。| 那边是什么？

これ　は　日本語の本　です。| 这是日语书。
それ　は　中国語の本　です。| 那是中文书。
あれ　は　電話　です。| 那个是电话。

この　本　は　誰の　ですか。| 这谁的书？
その　かばん　は　誰の　ですか。| 那是谁的包？
あれ　は　誰の電話　ですか。| 那边是谁的电话？
あの　電話　は　誰の　ですか。| 那边是谁的电话？

私の　です。| 是我的。

あの人　は　だれ　ですか。| 那个人是谁？
あの方　は　どなた　ですか。| 那位是谁？

私の本　は　どれ　ですか。| 我的书是哪一本？
この本　です。| 这本。

どうぞ。| 请（收下）。
どうも。| 太（感谢了）。
