0 | れい / ぜろ
1 | いち
2 | に
3 | さん
4 | し / よん
5 | ご
6 | ろく
7 | しち / なな
8 | はち
9 | きゅう / く

10 | じゅう
11 | じゅういち
20 | にじゅう
21 | にじゅういち
100 | ひゃく
111 | ひゃくじゅういち
121 | ひゃくにじゅういち
200 | にひゃく
1000 | せん

日曜日（にちようび）| 星期日
月曜日（げつようび）| 星期一
火曜日（かようび）| 星期二
水曜日（すいようび）| 星期三
木曜日（もくようび）| 星期四
金曜日（きんようび）| 星期五
土曜日（どようび）| 星期六

何日（なんにち）| 几号

何月（なんがつ）| 几月份
何か月（なんかげつ） | 几个月

一月（いちがつ）| 1月
一か月（いっかげつ）| 1个月

先週（せんしゅう）| 上周
今週（こんしゅう）| 本周
来週（らいしゅう）| 下周

年 | ねん
一年 | いちねん
二年 | にねん
三年 | さんねん
