わたし | 我
わたしたち | 我们
あなた | 你
あの人 | 那个人

おはよう。 | 早上好。
こんばんは。 | 晚上好。
こんにちは。 | 你好。
さようなら。 | 再见。

李さん　は　中国人 です。 | 小李是中国人。
李さん　は　中国人 ですか。 | 小李是中国人吗？
李さん　は　日本人 では　ありません。 | 小李不是日本人。

はい、そうです。 | 对，是的。
いいえ、ちがいます。 | 不，不是的。
わかりません。 | 不知道。

はじめまして。 | 初次见面。
どうぞ　よろしく　お願いします。 | 很高兴见到你，请多关照。
こちらこそ。 | 彼此彼此。

すみません。 | 对不起。
どうも　すみません。 | 实在对不起。

ありがどう　ございます。 | 谢谢。
いいえ、どういたしまして。 | 不，不客气。
