部屋　に　机が　あります。| 房间里有桌子。
ここ　に　本が　あります。| 这里有书。
庭　に　何が　ありますか。| 院子里有什么？

部屋　に　猫が　います。| 房间里有只猫。
あそこ　に　誰が　りますか。| 那里有谁？

椅子　は　部屋　に　あります。| 椅子在房间里。
本　は　ここ　に　あります。| 书在这儿。
図書館　は　どこ　に　ありますか。| 图书馆在哪儿？

李さん　の　家　は　どこ　ですか。| 小李家在哪儿？
李さん　は　どこ　ですか。| 小李在哪儿？

李さん　は　庭　に　います。| 小李在院子里。

机の上 に　時計　と　眼鏡。| 桌子上有手表和眼镜。
部屋　に　テレビ　と　ビール。| 房间里有电视和啤酒。

教室　に　誰も　いません。| 教室里谁也没有。
部屋　に　何も　ありません。| 房间里什么也没有。
