これ　は　何(なん)　ですか。| 这是什么？
それ　は　何　ですか。| 那是什么？
あれ　は　何　ですか。| 那边是什么？

これ　は　日本語の本　です。| 这是日语书。
それ　は　パソコン　です。| 那是个人电脑。
あれ　は　ノート　です。| 那个是笔记本。

この本　は　誰(だれ)の　ですか。| 这谁的书？
そのかばん　は　誰の　ですか。| 那是谁的包？
あれ　は　誰のテレビ　ですか。| 那边是谁的电视机？
あのカメラ　は　誰の　ですか。| 那边是谁的照相机？

私の　です。| 是我的。

あの人(ひと)　は　だれ　ですか。| 那个人是谁？
あの方(かた)　は　どなた　ですか。| 那位是谁？

私の本　は　どれ　ですか。| 我的书是哪一本？
この本　です。| 这本。

どうぞ。| 请（收下）。
どうも。| 太（感谢了）。
